SYMBOL,SCHEME_NAME
NIFTYBEES,Nippon India ETF Nifty 50 BeES
NIF100BEES,Nippon India ETF Nifty 100
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES
MON100,Motilal Oswal Nasdaq 100 ETF
MONIFTY500,Motilal Oswal Nifty 500 ETF
MASPTOP50,Mirae Asset S&P 500 Top 50 ETF
GOLDBEES,Nippon India ETF Gold BeES
SILVERBEES,Nippon India Silver ETF
BANKBEES,Nippon India ETF Nifty Bank BeES
CPSEETF,CPSE ETFTF
MOCAPITAL,Motilal Oswal Nifty Capital Market ETF
GROWWCAPM,Groww Nifty Capital Markets ETF
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF
METALIETF,ICICI Prudential Nifty Metal ETF
GROWWMETAL,Groww Nifty Metal ETF
TATSILV,Tata Silver ETF
